name,site,inn,hh_found,hh_employer_name,hh_employer_url,total_vacancies_found,support_vacancies_found,support_team_size_min,support_evidence,evidence_url,evidence_type,vacancy_details,analysis_success,error
Сбербанк,https://www.sberbank.ru,7707083893,True,Корпоративный университет Сбербанка,https://hh.ru/employer/1388900,2,0,0,,,jobs,[],True,No support vacancies found
Тинькофф Банк,https://www.tinkoff.ru,7710140679,True,Т-Банк,https://hh.ru/employer/78638,1911,16,29,"На HH.ru найдено: 16 вакансий поддержки, 1 со сменным графиком",https://hh.ru/employer/78638,jobs,"[{'name': 'Заместитель руководителя группы офисных услуг', 'url': 'https://hh.ru/vacancy/128540017', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Оператор по работе с документами', 'url': 'https://hh.ru/vacancy/126925669', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Product marketing manager', 'url': 'https://hh.ru/vacancy/128182628', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Оператор разметки данных', 'url': 'https://hh.ru/vacancy/128258625', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Стратегический аналитик', 'url': 'https://hh.ru/vacancy/128919663', 'schedule': 'Полный день', 'estimated_size': 1}]",True,
Альфа-Банк,https://alfabank.ru,7728168971,True,Альфа-Банк,https://hh.ru/employer/80,2478,19,52,"На HH.ru найдено: 19 вакансий поддержки, 2 со сменным графиком",https://hh.ru/employer/80,jobs,"[{'name': 'Специалист дистанционного контакт-центра в чате', 'url': 'https://hh.ru/vacancy/128625100', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Менеджер оперативной поддержки', 'url': 'https://hh.ru/vacancy/127845013', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'DevOps специалист', 'url': 'https://hh.ru/vacancy/128913320', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Специалист технической поддержки', 'url': 'https://hh.ru/vacancy/128750572', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Специалист поддержки клиентов в г. Воронеж', 'url': 'https://hh.ru/vacancy/128955860', 'schedule': 'Полный день', 'estimated_size': 1}]",True,
ВТБ,https://www.vtb.ru,7736212660,True,Банк ВТБ (ПАО),https://hh.ru/employer/4181,2871,43,130,"На HH.ru найдено: 43 вакансий поддержки, 2 со сменным графиком",https://hh.ru/employer/4181,jobs,"[{'name': 'Стажер IT Юниор - Прикладной администратор', 'url': 'https://hh.ru/vacancy/128952463', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Стажер аналитик данных в Управление инфраструктуры налично-денежного обращения, ВТБ Юниор', 'url': 'https://hh.ru/vacancy/128960301', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Стажер ВТБ Юниор в Обучение и развитие', 'url': 'https://hh.ru/vacancy/128922873', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Специалист контактного центра', 'url': 'https://hh.ru/vacancy/127872446', 'schedule': 'Гибкий график', 'estimated_size': 1}, {'name': 'Мобильный клиентский менеджер', 'url': 'https://hh.ru/vacancy/128048921', 'schedule': 'Полный день', 'estimated_size': 3}]",True,
Газпромбанк,https://www.gazprombank.ru,7744001497,True,Газпромбанк,https://hh.ru/employer/3388,1177,6,13,На HH.ru найдено: 6 вакансий поддержки,https://hh.ru/employer/3388,jobs,"[{'name': 'Руководитель проекта (развитие бренда работодателя)', 'url': 'https://hh.ru/vacancy/128956540', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'Руководитель направления ВЭД', 'url': 'https://hh.ru/vacancy/128946020', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'HR-стажер', 'url': 'https://hh.ru/vacancy/128655736', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Senior frontend-разработчик', 'url': 'https://hh.ru/vacancy/128130161', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Инженер по сопровождению', 'url': 'https://hh.ru/vacancy/128743901', 'schedule': 'Полный день', 'estimated_size': 1}]",True,
МТС,https://mts.ru,7740000076,True,ДЮ-МТС,https://hh.ru/employer/1535255,1,0,0,,,jobs,[],True,No support vacancies found
Билайн,https://beeline.ru,7713076301,False,,,0,0,0,,,jobs,[],False,Company not found on HH
МегаФон,https://megafon.ru,7812014560,True,МегаФон,https://hh.ru/employer/3127,1001,0,0,,,jobs,[],True,No support vacancies found
Tele2,https://tele2.ru,5029223278,False,,,0,0,0,,,jobs,[],False,Company not found on HH
Ростелеком,https://rt.ru,7707049388,True,Ростелеком,https://hh.ru/employer/2748,2682,19,39,"На HH.ru найдено: 19 вакансий поддержки, 1 со сменным графиком",https://hh.ru/employer/2748,jobs,"[{'name': 'Ассистент руководителя', 'url': 'https://hh.ru/vacancy/128838593', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Начинающий специалист', 'url': 'https://hh.ru/vacancy/120435474', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Frontend-разработчик', 'url': 'https://hh.ru/vacancy/128441206', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Бюджетный аналитик данных', 'url': 'https://hh.ru/vacancy/128785517', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Руководитель направления группы клиентского сервиса', 'url': 'https://hh.ru/vacancy/128933030', 'schedule': 'Полный день', 'estimated_size': 3}]",True,
